"start","activation_ins_buzz","activation_ambient_rain","activation_ins_trill","activation_mech_plane"
538.56,-1.8,-2.2,-2,-2.1
539.52,-1.9,-2,-1.9,-2
540.48,-1.6,-2.1,-2.1,-2
541.44,-1.7,-2.1,-2.1,-2.3
542.4,-1.6,-2.1,-2.1,-2.1
543.36,-1.3,-1.8,-1.6,-1.7
544.32,-1.1,-1.6,-1.6,-1.7
545.28,-1.8,-2.3,-2.2,-2.2
546.24,-1.5,-2.3,-2.1,-1.9
547.2,-1.5,-2.1,-2.1,-2
548.16,-1.7,-1.9,-2.2,-2
549.12,-1.9,-2.1,-1.8,-2
550.08,-1.5,-2.1,-2.1,-2
551.04,-1.4,-1.7,-1.7,-1.8
552,-1.6,-2.4,-2,-2
552.96,-1.4,-2,-2,-1.9
553.92,-1.4,-1.9,-1.8,-1.8
554.88,-1.6,-2.2,-2.1,-2
555.84,-1.4,-1.7,-1.5,-1.8
556.8,-1.6,-2.4,-2.1,-2.2
557.76,-1.5,-2.1,-2,-2
558.72,-1.3,-1.6,-1.5,-1.5
559.68,-1.5,-1.8,-1.7,-1.6
560.64,-1.4,-1.8,-1.7,-1.7
561.6,-1.6,-2.1,-1.9,-1.8
562.56,-1.2,-1.7,-1.6,-1.5
563.52,-1.6,-2.1,-1.9,-1.9
564.48,-1.4,-2,-1.6,-1.8
565.44,-1.4,-2.1,-2.2,-2
566.4,-1.4,-1.7,-1.7,-1.7
567.36,-1.7,-2.4,-1.9,-2
568.32,-1.3,-2,-1.8,-1.8
569.28,-1.2,-1.8,-1.7,-1.7
570.24,-1.6,-2,-1.8,-1.6
571.2,-1.3,-1.7,-1.7,-1.7
572.16,-1.7,-2.2,-2.1,-2.1
573.12,-1.7,-2,-2.2,-2.1
574.08,-1.4,-2,-2.2,-1.8
575.04,-1.4,-1.8,-1.6,-1.7
