"start","activation_ins_buzz","activation_ambient_rain","activation_ins_trill","activation_mech_plane"
469.44,-2.5,-2.5,-3,-3.3
470.4,-2.4,-2.4,-2.6,-3.1
471.36,-2.3,-2.5,-2.8,-3
472.32,-2,-2,-1.8,-2.5
473.28,-1.8,-2.4,-2.4,-3
474.24,-2,-1.5,-1.6,-2.4
475.2,-2.9,-2.6,-2.3,-3.2
476.16,-2.1,-2.5,-2.6,-3.1
477.12,-2.4,-2.3,-2.8,-3.1
478.08,-2.4,-2.8,-2.9,-3.2
479.04,-2.3,-2.3,-2.3,-2.4
480,-1.7,-2.2,-2,-2.6
480.96,-2.5,-2.2,-2.3,-2.8
481.92,-2.2,-2.2,-1.9,-2.5
482.88,-1.8,-1.6,-1.7,-2.3
483.84,-2.1,-2.5,-3,-3.4
484.8,-2.1,-2.2,-1.8,-2.5
485.76,-2,-2.1,-2.2,-2.5
486.72,-2.2,-2.1,-2.2,-2.8
487.68,-1.9,-2.4,-2.9,-2.9
488.64,-1.9,-2,-1.9,-2.4
489.6,-1.7,-1.8,-1.6,-2.1
490.56,-1.8,-2.9,-2.6,-3.1
491.52,-1.7,-1.9,-2.3,-2.6
492.48,-1.8,-2.1,-2.2,-2.8
493.44,-2.1,-2.1,-2.3,-2.7
494.4,-1.7,-1.9,-2.1,-2.3
495.36,-1.7,-1.5,-1.6,-2.4
496.32,-1.4,-1.6,-1.5,-2
497.28,-1.9,-1.7,-1.8,-2.4
498.24,-1.8,-1.8,-1.7,-2.3
499.2,-2.5,-2.1,-2.5,-2.9
500.16,-2.1,-2.1,-2,-2.6
501.12,-2,-2,-1.8,-2.6
502.08,-2.4,-2,-2,-2.9
503.04,-1.8,-2.1,-2.1,-2.8
504,-1.9,-1.8,-1.6,-2.4
504.96,-1.9,-1.7,-1.4,-2.3
505.92,-1.7,-1.7,-1.6,-2.3
506.88,-1.9,-2,-1.6,-2.3
507.84,-2.2,-2.1,-1.9,-2.6
508.8,-2.3,-2.5,-2.2,-2.9
509.76,-2.2,-2.2,-2.4,-2.8
510.72,-2.1,-2,-2.1,-2.6
511.68,-2.2,-1.8,-2.1,-2.8
512.64,-2.2,-1.9,-2.2,-3
513.6,-2.1,-1.7,-1.8,-2.5
514.56,-2.4,-2,-1.6,-2.5
515.52,-2,-2.1,-1.9,-2.2
516.48,-1.6,-1.9,-2,-2.5
