"start","activation_ins_buzz","activation_ambient_rain","activation_ins_trill","activation_mech_plane"
538.56,-2.2,-2.9,-3.3,-2.9
539.52,-2,-2.2,-2.2,-2.2
540.48,-2.2,-1.8,-1.8,-2.1
541.44,-1.7,-1.7,-1.7,-1.8
542.4,-1.9,-2.3,-2.4,-2.2
543.36,-1.5,-2.1,-2.1,-2.1
544.32,-1.8,-2.2,-2.9,-2.4
545.28,-2.2,-2.5,-2.7,-2.7
546.24,-1.9,-2.1,-2.3,-2.2
547.2,-2.5,-2.5,-2.9,-2.8
548.16,-2.7,-2.9,-3.3,-2.7
549.12,-2.3,-2.7,-2.7,-2.5
550.08,-1.9,-2.2,-2.7,-2.4
551.04,-2.1,-2.5,-2.8,-2.6
552,-2.1,-2.5,-2.8,-2.5
552.96,-2.3,-2.2,-2.7,-2.6
553.92,-2.3,-2.5,-2.7,-2.5
554.88,-1.8,-2.2,-2.3,-2.3
555.84,-2.6,-2.5,-2.8,-2.6
556.8,-2.3,-2.6,-2.9,-2.8
557.76,-2.3,-2.1,-2.5,-2.2
558.72,-2.4,-2.7,-3.1,-2.6
559.68,-2.2,-2.5,-2.7,-2.7
560.64,-3.1,-3,-3.3,-2.9
561.6,-2.5,-2.3,-3,-2.6
562.56,-2.5,-2.6,-2.7,-2.8
563.52,-2,-2.3,-2.7,-2.4
564.48,-2.8,-2.5,-2.8,-2.8
565.44,-2.8,-2.9,-3,-2.9
566.4,-2.7,-2.9,-3,-2.9
567.36,-2.2,-2.3,-2.2,-2.3
568.32,-2.4,-2.3,-2.6,-2.5
569.28,-2,-2.1,-2.3,-2.4
570.24,-2.1,-2.1,-2.3,-2.3
571.2,-2.4,-2.5,-2.9,-2.6
572.16,-2.1,-2.7,-2.9,-2.8
573.12,-2.2,-2.6,-2.8,-2.5
574.08,-2,-2.5,-2.5,-2.6
575.04,-2.4,-2.1,-2.4,-2.4
