"start","activation_ins_buzz","activation_ambient_rain","activation_ins_trill","activation_mech_plane"
5937.6,-2.8,-3,-3.5,-3.1
5938.56,-2.5,-2.9,-3.4,-2.8
5939.52,-2.1,-2.4,-2.7,-2.4
5940.48,-2.3,-2.5,-2.9,-2.5
5941.44,-2.2,-2.3,-2.7,-2.2
5942.4,-2.9,-3.2,-3.6,-3
5943.36,-2.5,-2.8,-3.1,-2.6
5944.32,-2.7,-3,-3.5,-2.9
5945.28,-2.4,-2.8,-3.3,-2.8
5946.24,-2.6,-2.8,-3.1,-2.9
5947.2,-2.2,-2.5,-2.9,-2.6
5948.16,-2.4,-2.9,-3.2,-2.8
5949.12,-1.9,-2.5,-2.7,-2.3
5950.08,-2.8,-2.7,-3,-2.8
5951.04,-2.9,-2.8,-3.5,-2.7
5952,-2.5,-2.9,-3.3,-2.8
5952.96,-2.4,-2.4,-2.7,-2.3
5953.92,-2.7,-2.9,-3.3,-2.8
5954.88,-2.4,-2.8,-3.1,-2.7
5955.84,-2.8,-2.7,-2.9,-2.6
